Objeto	Coluna	PK	FK	FKReferenceSource	FKReferenceFake
[dbo].[ANIMAL]	CD_GENERO_ANIMAL	False	False	NULL	000000
[dbo].[ANIMAL]	CD_PORTE_ANIMAL	False	False	NULL	000000
[dbo].[ANIMAL_ANEXO]	CD_ANIMAL_ANEXO	True	False	NULL	000000
[dbo].[ANIMAL_ANEXO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[ANIMAL_ANEXO]	CD_OCORRENCIA_ANIMAL	False	False	NULL	000000
[dbo].[ANIMAL_ANEXO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ANO]	CD_ANO	True	False	NULL	000000
[dbo].[AREA_RESPONSAVEL_ACIDENTES]	CD_AREA_RESPONSAVEL_ACIDENTES	True	False	NULL	000000
[dbo].[AREA_RESPONSAVEL_ACIDENTES_USUARIO]	CD_AREA_RESPONSAVEL_ACIDENTES_USUARIO	True	False	NULL	000000
[dbo].[AREA_RESPONSAVEL_ACIDENTES_USUARIO]	CD_AREA_RESPONSAVEL_ACIDENTES	False	False	NULL	000000
[dbo].[AREA_RESPONSAVEL_ACIDENTES_USUARIO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[AREA_RESPONSAVEL_ACIDENTES_USUARIO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[dbo].[AREA_RESPONSAVEL_ACIDENTES_USUARIO_HISTORICO]	CD_AREA_RESPONSAVEL_ACIDENTES	False	False	NULL	000000
[dbo].[AREA_RESPONSAVEL_ACIDENTES_USUARIO_HISTORICO]	CD_AREA_RESPONSAVEL_ACIDENTES_USUARIO	False	False	NULL	000000
[dbo].[AREA_RESPONSAVEL_ACIDENTES_USUARIO_HISTORICO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[AREA_RESPONSAVEL_ACIDENTES_USUARIO_HISTORICO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[dbo].[ATIVIDADE]	CD_ATIVIDADE	True	False	NULL	000000
[dbo].[ATIVIDADE]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[dbo].[ATIVIDADE]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[dbo].[ATIVIDADE_HISTORICO]	CD_ATIVIDADE	False	False	NULL	000000
[dbo].[ATIVIDADE_HISTORICO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
